location,keyword,proposed_url,current_status,reason,admin_source,observed_at
Hà Nội,lắp mạng fpt hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,lắp mạng fpt tại hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,lắp mạng fpt ở hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,đăng ký fpt hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,đăng ký mạng fpt hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,đăng ký internet fpt hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,tư vấn lắp mạng fpt hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,thủ tục lắp mạng fpt hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=informational; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,thời gian lắp mạng fpt hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=informational; cluster=INSTALL; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,kiểm tra hạ tầng fpt hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=AVAILABILITY; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
Hà Nội,kiểm tra mạng fpt tại hà nội,/khu-vuc/ha-noi/,READY_LOCAL_CONTEXT,Canonical local page for Hà Nội; intent=transactional; cluster=AVAILABILITY; address-specific availability/pricing must be verified before claim,https://xaydungchinhsach.chinhphu.vn/chi-tiet-34-don-vi-hanh-chinh-cap-tinh-tu-12-6-2025-119250612141845533.htm,2026-08-17
